배정기준일,현금배당,주식,종목코드,종목명,시장구분,배당구분,명의개서대리인,주식종류,주당배당금,,주당배당률(일반),,주당배당률(차등),,액면가,결산월
,지급일,유통(교부)일,,,,,,,일반,차등,현금,주식,현금,주식,,
20191220,20200106,,083370,동북아12호선박투자회사,유가증권시장,현금배당,한국예탁결제원,보통주,0,,1.4958904,0,,,5000,12
20191216,20191231,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.636986,0,,,5000,12
20191216,20191231,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.356712,0,,,5000,12
20191216,20191230,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.152876,0,,,5000,12
20191210,20191227,,013690,이랜드리테일,기타비상장,현금배당,하나은행,보통주,0,0,16,0,0,,5000,12
20191205,20191220,,152550,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),유가증권시장,현금배당,한국예탁결제원,보통주,50,,1.42005112184039,0,,,0,12
20191127,20191219,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.57534247,0,,,5000,12
20191119,20191120,,030490,한국투자증권,기타비상장,현금배당,한국예탁결제원,보통주,7120,,142.4,0,,,5000,12
20191118,20191205,,015250,모닝글로리,기타비상장,현금배당,한국예탁결제원,보통주,220,,4.4,0,,,5000,06
20191115,20191129,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.636986,0,,,5000,12
20191115,20191129,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.356712,0,,,5000,12
20191115,20191129,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.152876,0,,,5000,12
20191104,20191120,,096300,한국월드와이드베트남부동산개발특별자,유가증권시장,현금배당,한국예탁결제원,보통주,90,,17.6470588235294,0,,,0,02
20191030,20191112,,083380,동북아13호선박투자회사,유가증권시장,현금배당,한국예탁결제원,보통주,0,,1.51232876,0,,,5000,12
20191028,20191119,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.59452055,0,,,5000,12
20191023,20191114,,245030,스페이스솔루션,기타비상장,현금배당,국민은행,보통주,0,,16,0,,,500,12
20191023,20191105,,034830,한국토지신탁,유가증권시장,현금배당,한국예탁결제원,보통주,30,,3,0,,,1000,12
20191017,20191101,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,0,.75616,0,0,,5000,12
20191017,,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,,0,100,,.992438369911,5000,12
20191017,,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,,0,100,,,5000,12
20191015,20191031,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.59589,0,,,5000,12
20191015,20191031,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.333698,0,,,5000,12
20191015,20191030,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.143013,0,,,5000,12
20190930,20200110,,008870,금비,유가증권시장,현금배당,하나은행,보통주,1200,,24,0,,,5000,09
20190930,20191028,,023450,동남합성,유가증권시장,현금배당,하나은행,보통주,200,0,40,0,,,500,12
20190930,20191024,,084670,동양고속,유가증권시장,현금배당,하나은행,보통주,2000,,40,0,,,5000,12
20190930,,,000150,두산,유가증권시장,현금배당,하나은행,보통주,0,,0,90.60062,,,5000,12
20190930,,,000150,두산,유가증권시장,현금배당,하나은행,보통주,0,,0,302.97,,3.0296917,5000,12
20190930,,,000150,두산,유가증권시장,현금배당,하나은행,보통주,0,,0,166.999,,1.6699755,5000,12
20190930,20191106,,000150,두산,유가증권시장,현금배당,하나은행,보통주,1300,,26,0,,,5000,12
20190930,,,000155,두산1우,유가증권시장,현금배당,하나은행,우선주,0,,0,166.999,,1.6699115,5000,12
20190930,20191106,,000155,두산1우,유가증권시장,현금배당,하나은행,우선주,1300,,26,0,,,5000,12
20190930,,,000155,두산1우,유가증권시장,현금배당,하나은행,우선주,0,,0,90.60062,,,5000,12
20190930,,,000155,두산1우,유가증권시장,현금배당,하나은행,우선주,0,,0,302.97,,3.029651,5000,12
20190930,,,000157,두산2우,유가증권시장,현금배당,하나은행,2우선주,0,,0,302.97,,3.02914,5000,12
20190930,20191106,,000157,두산2우,유가증권시장,현금배당,하나은행,2우선주,1300,,26,0,,,5000,12
20190930,,,000157,두산2우,유가증권시장,현금배당,하나은행,2우선주,0,,0,166.999,,1.66934,5000,12
20190930,,,000157,두산2우,유가증권시장,현금배당,하나은행,2우선주,0,,0,90.60062,,,5000,12
20190930,20191030,,086900,메디톡스,코스닥시장,현금배당,한국예탁결제원,보통주,800,,160,0,,,500,12
20190930,20191029,,002840,미원상사,유가증권시장,현금배당,하나은행,보통주,150,0,30,0,,,500,12
20190930,20200110,,003610,방림,유가증권시장,현금배당,한국예탁결제원,보통주,40,,8,0,,,500,09
